7
7.07753e-09,3.64249e-08,2.01407e-08,1.35434e-08,1.22512e-08,3.1569e-08,1.22512e-08
-74.5449,-98.6152,-94.4287,-90.8818,-86.2108,-96.8024,-86.2108
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,144.711,90,35.2891
199.619,259.454,353.224,190.105,199.619,102.191,199.619
90,90,90,90,144.711,90,35.2891
19.6186,280.546,6.77593,169.895,19.6186,77.8086,19.6186
7
7.11173e-09,3.63266e-08,2.01527e-08,1.35613e-08,1.2271e-08,3.16667e-08,1.2271e-08
-74.5867,-98.5917,-94.4339,-90.8933,-86.2248,-96.8293,-86.2248
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,144.581,90,35.4194
200.378,259.425,352.942,190.521,200.378,102.153,200.378
90,90,90,90,144.581,90,35.4194
20.3775,280.575,7.05825,169.479,20.3775,77.8468,20.3775
