54
1.33767e-08,2.28313e-08,2.3119e-08,1.76711e-08,1.67013e-08,4.53233e-08,1.67013e-08,2.02089e-08,1.74293e-08,1.64346e-08,4.52199e-08,1.66286e-08,2.00746e-08,1.60887e-08,1.39286e-08,1.63248e-08,1.73133e-08,1.58545e-08,1.23183e-08,1.60627e-08,2.34821e-08,2.31866e-08,4.67573e-08,1.79577e-08,2.46288e-08,2.36716e-08,1.9225e-08,2.59922e-08,2.37652e-08,2.78989e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-80.0742,-88.2056,-93.4629,-91.9065,-88.047,-99.5957,-89.762,-98.3986,-97.1888,-97.9096,-105.054,-102.128,-98.9245,-100.285,-103.254,-104.865,-112.009,-100.827,-105.032,-103.248,-98.9241,-95.7293,-113.051,-101.399,-103.457,-102.259,-100.793,-103.782,-105.201,-112.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159,2.3974,1.22374,0.266603,1.82489,0.572483,4.80988,1.41951,0.448905,3.62043,4.99639,1.07259,3.27762,4.2937,4.33046,4.07851,1.51241,3.33225,4.70078,4.59755,5.4107,2.83084,4.06991,0.526665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,90,90,90,126.781,90,53.2193,93.7652,89.8796,126.623,89.8255,54.1517,85.634,88.4433,121.155,52.0191,89.7867,92.3453,127.978,52.5378,88.4963,84.4888,94.9714,49.2828,90.3105,86.1155,53.3419,89.1254,88.2821,90.5014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119.893,253.022,30.1073,138.984,119.893,98.4584,119.893,255.782,139.483,125.619,98.6542,118.533,254.331,136.692,120.899,123.284,251.815,137.662,119.895,118.726,251.752,27.3909,98.854,118.226,254.025,28.8579,120.542,252.487,33.8023,253.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,90,90,90,126.781,90,53.2193,87.9047,93.3233,119.162,89.4437,53.6155,81.5522,90.252,126.726,51.6486,84.1895,90.6699,123.873,54.281,90.4028,95.7063,91.8122,56.4189,89.8282,90.3822,52.1668,79.8325,85.0195,88.9278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
299.893,286.978,329.893,221.016,299.893,81.5416,299.893,286.122,221.044,298.483,79.3893,299.798,287.401,220.87,298.863,297.834,284.779,221.883,301.973,299.229,287.185,326.857,81.572,300.492,289.645,327.436,301.425,293.588,333.868,282.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54
1.32901e-08,2.27357e-08,2.3069e-08,1.76056e-08,1.66321e-08,4.54222e-08,1.66321e-08,2.19802e-08,1.69454e-08,1.5367e-08,4.51912e-08,1.58987e-08,2.15404e-08,1.57888e-08,1.52847e-08,4.50356e-08,1.52536e-08,2.13732e-08,1.47027e-08,1.47746e-08,4.49557e-08,1.49566e-08,2.38897e-08,2.31137e-08,1.69214e-08,4.67477e-08,1.70263e-08,2.40339e-08,2.37048e-08,1.7412e-08,4.75944e-08,1.82189e-08,2.55942e-08,2.38927e-08,1.74866e-08,4.7789e-08,2.40082e-08,1.8605e-08,5.09455e-08,2.42104e-08,1.91046e-08,5.12539e-08,2.43496e-08,5.56745e-08,2.45338e-08,2.45721e-08,2.54585e-08,2.57495e-08,2.64294e-08,2.74735e-08,2.80812e-08,2.87558e-08,2.92736e-08,2.93899e-08
-80.0178,-93.1672,-91.4286,-90.8927,-83.3496,-109.108,-87.8073,-99.2893,-98.5895,-98.1741,-118.007,-95.1224,-104.521,-103.672,-98.9432,-122.746,-101.14,-102.621,-106.142,-100.899,-124.513,-99.0406,-104.987,-94.3926,-92.5756,-121.775,-97.6968,-105.69,-96.3395,-95.7886,-122.628,-103.986,-112.49,-97.3591,-93.4998,-122.887,-95.9338,-94.4845,-129.307,-98.8916,-99.7658,-131.657,-98.2576,-133.899,-99.2064,-98.9351,-100.835,-101.729,-104.053,-106.092,-107.838,-109.668,-111.672,-111.182
