7
8.73494e-09,2.85778e-08,2.07811e-08,1.44787e-08,1.32778e-08,3.94448e-08,1.32778e-08
-76.3724,-96.5078,-94.7006,-91.4618,-86.9097,-98.737,-86.9097
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,138.863,90,41.137
319.749,283.49,344.241,202.943,319.749,80.2696,319.749
90,90,90,90,138.863,90,41.137
139.749,256.51,15.7591,157.057,139.749,99.7304,139.749
7
8.67066e-09,2.84806e-08,2.07542e-08,1.444e-08,1.32356e-08,3.95434e-08,1.32356e-08
-76.3083,-96.4782,-94.6893,-91.4386,-86.8821,-98.7587,-86.8821
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,139.073,90,40.9275
320.253,283.537,344.507,202.578,320.253,80.2941,320.253
90,90,90,90,139.073,90,40.9275
140.253,256.463,15.4934,157.422,140.253,99.7059,140.253
