7
2.81198e-08,4.75143e-08,8.59266e-08,3.87535e-08,2.9845e-08,3.87535e-08,2.9845e-08
-86.5275,-101.084,-106.23,-99.3134,-97.0446,-99.3134,-97.0446
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,109.576,90,70.4235
135.336,245.107,103.459,149.332,135.336,30.6679,135.336
90,90,90,90,109.576,90,70.4235
315.336,294.893,76.5406,210.668,315.336,329.332,315.336
7
2.84497e-08,4.7938e-08,8.54729e-08,3.89936e-08,3.01561e-08,3.89936e-08,3.01561e-08
-86.6288,-101.161,-106.184,-99.3671,-97.1347,-99.3671,-97.1347
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,109.366,90,70.6336
134.668,245.342,103.532,148.742,134.668,31.2578,134.668
90,90,90,90,109.366,90,70.6336
314.668,294.658,76.4678,211.258,314.668,328.742,314.668
