7
1.32901e-08,4.54222e-08,2.3069e-08,1.76056e-08,1.66321e-08,2.27357e-08,1.66321e-08
-80.0178,-100.533,-95.6078,-93.1603,-88.8661,-93.9514,-88.8661
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,126.959,90,53.0406
59.8922,278.44,29.8924,139.23,59.8922,72.9489,59.8922
90,90,90,90,126.959,90,53.0406
239.892,261.56,330.108,220.77,239.892,107.051,239.892
7
1.33767e-08,4.53233e-08,2.3119e-08,1.76711e-08,1.67013e-08,2.28313e-08,1.67013e-08
-80.0742,-100.514,-95.6266,-93.1925,-88.9023,-93.9878,-88.9023
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90,90,90,90,126.781,90,53.2193
60.1071,278.458,30.1073,138.984,60.1071,73.0225,60.1071
90,90,90,90,126.781,90,53.2193
240.107,261.542,329.893,221.016,240.107,106.978,240.107
